date,code,open,high,low,close,volume,amount,turn,pctChg
2020-06-09,sh.600519,1219.9080960000,1234.6371000000,1213.5659601600,1227.3159186000,2261191,3199849660.0000,0.180000,0.743200
2020-06-10,sh.600519,1234.6371000000,1241.8543119600,1227.7058040000,1233.4761079200,2270074,3234843851.0000,0.180700,0.501900
2020-06-11,sh.600519,1222.5159961200,1228.5635518800,1210.3688998800,1213.3753495200,3071171,4314846228.0000,0.244500,-1.629600
2020-06-12,sh.600519,1201.8607340400,1227.1599644400,1198.5163837200,1227.1599644400,2842742,3992323389.0000,0.226300,1.136100
2020-06-15,sh.600519,1214.7096240000,1223.0271792000,1196.5149720000,1198.2477960000,3461541,4819512189.0000,0.275600,-2.356000
2020-06-16,sh.600519,1211.6771820000,1225.1065680000,1207.0245495600,1216.3384785600,2920664,4099718932.0000,0.232500,1.509800
2020-06-17,sh.600519,1223.2524463200,1223.2871028000,1208.6620682400,1217.3088600000,1945307,2730097120.0000,0.154900,0.079800
2020-06-18,sh.600519,1217.2222188000,1224.4134384000,1213.0634412000,1224.2401560000,2101041,2956800081.0000,0.167300,0.569400
2020-06-19,sh.600519,1230.3050400000,1252.1386224000,1226.0596212000,1247.4946540800,3895833,5603232657.0000,0.310100,1.899500
2020-06-22,sh.600519,1243.3878612000,1251.0036226800,1241.7416784000,1246.7668680000,2324700,3343536637.0000,0.185100,-0.058300
2020-06-23,sh.600519,1243.3012200000,1284.0225840000,1242.0189302400,1277.5244940000,3393426,4963194685.0000,0.270100,2.467000
2020-06-24,sh.600519,1282.8893080000,1284.7387863000,1266.5858500000,1279.7425653000,2513899,3663537115.0000,0.200100,0.173600
2020-06-29,sh.600519,1269.2154400000,1284.9929800000,1259.5823753000,1282.5124001000,2808061,4064048236.0000,0.223500,0.216400
2020-06-30,sh.600519,1282.4685736000,1287.6050394000,1275.4563336000,1282.2582064000,2244614,3281641199.0000,0.178700,-0.019800
2020-07-01,sh.600519,1286.7460400000,1320.1418330000,1283.2574506000,1309.7724831000,3868249,5759640251.0000,0.307900,2.145800
2020-07-02,sh.600519,1313.9184700000,1359.4103770000,1310.4123500000,1353.3623200000,4588372,7014289615.0000,0.365300,3.328000
2020-07-03,sh.600519,1358.6215000000,1360.8128250000,1329.5908264000,1351.4251887000,3512581,5395637032.0000,0.279600,-0.143100
2020-07-06,sh.600519,1348.1031400000,1416.4724800000,1342.6774193000,1402.4480000000,5182196,8228068998.0000,0.412500,3.775500
2020-07-07,sh.600519,1405.1564777000,1529.3870746000,1403.3245300000,1479.5826400000,6666393,11219852098.0000,0.530700,5.500000
2020-07-08,sh.600519,1472.5704000000,1506.7550700000,1455.0398000000,1473.7449502000,5316998,8963189092.0000,0.423300,-0.394600
2020-07-09,sh.600519,1482.2122300000,1500.6193600000,1474.3234600000,1495.3601800000,3503324,5951732803.0000,0.278900,1.466700
2020-07-10,sh.600519,1480.4591700000,1522.1819980000,1480.4065782000,1502.2409405000,3710044,6352507468.0000,0.295300,0.460100
2020-07-13,sh.600519,1502.9684604000,1566.3591100000,1502.9684604000,1561.9676947000,6072716,10679460274.0000,0.483400,3.975800
2020-07-14,sh.600519,1561.9676947000,1562.0027559000,1532.5250520000,1544.4458600000,4609351,8135834910.0000,0.366900,-1.121800
2020-07-15,sh.600519,1529.4396664000,1562.5023780000,1529.2906563000,1536.1451209000,4071294,7176560649.0000,0.324100,-0.537500
2020-07-16,sh.600519,1516.3180123000,1516.3180123000,1402.4480000000,1414.7194200000,10224219,16901373196.0000,0.813900,-7.904600
2020-07-17,sh.600519,1419.9786000000,1466.0753127000,1419.9786000000,1444.5652665000,6590206,10863420089.0000,0.524600,2.109700
2020-07-20,sh.600519,1448.4658250000,1458.5371547000,1392.7009864000,1434.8445488000,4528033,7363822989.0000,0.360500,-0.672900
2020-07-21,sh.600519,1443.3293592000,1492.5552840000,1429.6116647000,1462.0520400000,4196950,7026353150.9800,0.334100,1.896200
2020-07-22,sh.600519,1453.2867400000,1498.8663000000,1453.2867400000,1470.8874624000,3920121,6637265371.7100,0.312100,0.604300
2020-07-23,sh.600519,1465.5581600000,1482.2122300000,1446.2745000000,1469.0642800000,3432052,5739050333.4200,0.273200,-0.124000
2020-07-24,sh.600519,1450.5256705000,1460.2989800000,1389.3000500000,1398.3283090000,7875201,12705941887.2200,0.626900,-4.815000
2020-07-27,sh.600519,1416.4812453000,1428.5685940000,1402.4480000000,1422.2137515000,3878817,6279664443.7100,0.308800,1.708100
2020-07-28,sh.600519,1428.7439000000,1472.5704000000,1428.7439000000,1463.8051000000,5491152,9133721867.3100,0.437100,2.924400
2020-07-29,sh.600519,1481.3357000000,1481.3357000000,1431.3734900000,1465.5581600000,5074843,8411789966.5000,0.404000,0.119800
2020-07-30,sh.600519,1464.8569360000,1490.6181527000,1464.2433650000,1472.5704000000,3837304,6486855474.9900,0.305500,0.478500
2020-07-31,sh.600519,1476.9530500000,1494.4836500000,1442.7683800000,1470.9751154000,4068474,6846747330.2200,0.323900,-0.108300
2020-08-03,sh.600519,1478.6009264000,1487.1032674000,1455.0398000000,1462.0520400000,3466114,5790041421.9300,0.275900,-0.606600
2020-08-04,sh.600519,1468.1877500000,1475.1912247000,1455.0398000000,1463.7963347000,3194051,5337185768.0100,0.254300,0.119300
2020-08-05,sh.600519,1456.8717477000,1466.5135777000,1440.4105143000,1462.0520400000,2552169,4236612469.3400,0.203200,-0.119200
2020-08-06,sh.600519,1463.8051000000,1467.3375159000,1428.7439000000,1435.7210788000,3264878,5372942644.9600,0.259900,-1.801000
2020-08-07,sh.600519,1441.6902481000,1445.9852451000,1401.1332050000,1429.6204300000,3424205,5560065753.2700,0.272600,-0.424900
2020-08-10,sh.600519,1426.9645441000,1441.8567888000,1409.5566583000,1432.2412547000,2362354,3857721122.3800,0.188100,0.183300
2020-08-11,sh.600519,1437.5092000000,1460.6758879000,1437.5092000000,1439.7092903000,3581818,5936904875.6400,0.285100,0.521400
2020-08-12,sh.600519,1431.3734900000,1438.3857300000,1407.0497825000,1426.0704835000,2793392,4529267492.9800,0.222400,-0.947300
2020-08-13,sh.600519,1428.7439000000,1436.5274864000,1410.3367700000,1433.1265500000,2054134,3341652185.8900,0.163500,0.494800
2020-08-14,sh.600519,1437.4215470000,1460.0360210000,1429.6204300000,1455.9163300000,3765318,6230475427.2400,0.299700,1.590200
2020-08-17,sh.600519,1467.3112200000,1493.9139055000,1463.8051000000,1481.3357000000,4357201,7363610867.3300,0.346900,1.745900
2020-08-18,sh.600519,1487.8044914000,1507.6316000000,1482.2122300000,1494.4836500000,3042281,5192751797.1100,0.242200,0.887600
2020-08-19,sh.600519,1490.1010000000,1505.0020100000,1475.1912247000,1478.7061100000,2691498,4578143762.2000,0.214300,-1.055700
2020-08-20,sh.600519,1467.3112200000,1471.6938700000,1451.5336800000,1458.5459200000,2238233,3727183935.4500,0.178200,-1.363400
2020-08-21,sh.600519,1466.4346900000,1488.3479400000,1464.6816300000,1469.0642800000,2508241,4217048420.2400,0.199700,0.721200
2020-08-24,sh.600519,1490.1010000000,1497.1132400000,1482.2209953000,1486.9016655000,3093344,5260286523.4600,0.246200,1.214200
2020-08-25,sh.600519,1494.3083440000,1531.1050734000,1488.9001539000,1513.7673100000,4187249,7227309774.1400,0.333300,1.806800
2020-08-26,sh.600519,1519.9030200000,1529.5448500000,1503.2664806000,1513.7673100000,2621573,4530374186.4700,0.208700,0.000000
2020-08-27,sh.600519,1518.1411947000,1519.8854894000,1494.4836500000,1517.2734300000,2263553,3896759446.1700,0.180200,0.231600
2020-08-28,sh.600519,1517.2734300000,1546.1989200000,1508.9463950000,1540.0632100000,4229962,7389242302.4900,0.336700,1.502000
2020-08-31,sh.600519,1551.9664874000,1591.7784800000,1551.9664874000,1565.9208450000,4781036,8608932570.4100,0.380600,1.679000
2020-09-01,sh.600519,1570.7417600000,1579.5070600000,1555.8495153000,1579.4895294000,3163992,5661594315.1600,0.251900,0.866500
2020-09-02,sh.600519,1599.6672500000,1602.2968400000,1551.4581000000,1573.3713500000,3200929,5746351923.0100,0.254800,-0.387400
2020-09-03,sh.600519,1573.3713500000,1588.2723600000,1559.9604410000,1571.6182900000,3043735,5471333880.1000,0.242300,-0.111400
2020-09-04,sh.600519,1547.9519800000,1557.5850447000,1530.4213800000,1551.4581000000,3085796,5433479408.0000,0.245600,-1.282800
2020-09-07,sh.600519,1542.6928000000,1558.4615747000,1493.5808241000,1510.6994550000,3111202,5446354619.0300,0.247700,-2.627100
2020-09-08,sh.600519,1518.1499600000,1523.2338340000,1470.0021671000,1500.0934420000,3447238,5865962723.7500,0.274400,-0.702100
2020-09-09,sh.600519,1489.8117451000,1499.7428300000,1472.6054612000,1479.5826400000,2596355,4401806095.1400,0.206700,-1.367300
2020-09-10,sh.600519,1493.3792222000,1507.6316000000,1490.1010000000,1495.1848740000,2477833,4236694401.5200,0.197200,1.054500
2020-09-11,sh.600519,1479.5826400000,1521.6560800000,1479.5826400000,1519.0264900000,3108800,5339883407.7600,0.247500,1.594600
2020-09-14,sh.600519,1529.5448500000,1550.5815700000,1516.9052874000,1547.9519800000,3105601,5448188995.3800,0.247200,1.904200
2020-09-15,sh.600519,1551.4493347000,1551.4493347000,1531.9553075000,1542.6928000000,2082087,3654872008.5100,0.165700,-0.339800
2020-09-16,sh.600519,1542.6928000000,1546.9089093000,1506.7550700000,1512.1019030000,2251598,3916457761.6500,0.179200,-1.983000
2020-09-17,sh.600519,1490.1010000000,1490.1010000000,1453.2867400000,1464.2608956000,6367985,10683350186.5000,0.506900,-3.163900
2020-09-18,sh.600519,1459.4224500000,1485.7183500000,1433.1353153000,1485.7183500000,4720140,7853673240.8700,0.375700,1.465400
2020-09-21,sh.600519,1483.7549228000,1483.7549228000,1460.8774898000,1461.0002040000,2244407,3756765108.0700,0.178700,-1.663700
2020-09-22,sh.600519,1446.2745000000,1478.6885794000,1446.2745000000,1460.0272557000,2326547,3890070212.3900,0.185200,-0.066600
2020-09-23,sh.600519,1433.1265500000,1460.3077453000,1420.8726606000,1446.2569694000,3572552,5878691068.9300,0.284400,-0.943200
2020-09-24,sh.600519,1433.9767841000,1454.0580864000,1425.9390040000,1428.1478596000,3005078,4915392273.4900,0.239200,-1.252100
2020-09-25,sh.600519,1428.7439000000,1446.2745000000,1424.3612500000,1433.2229683000,2258296,3700843486.0000,0.179800,0.355400
2020-09-28,sh.600519,1433.2930907000,1462.4903050000,1433.2930907000,1455.9163300000,2423222,4019640150.4200,0.192900,1.583400
2020-09-29,sh.600519,1463.2178249000,1463.2791820000,1448.2905190000,1448.2905190000,1743078,2895081365.6100,0.138800,-0.523800
2020-09-30,sh.600519,1455.0398000000,1483.0011070000,1455.0398000000,1462.4903050000,2708781,4536012539.9100,0.215600,0.980500
2020-10-09,sh.600519,1483.0887600000,1495.7283226000,1479.5826400000,1486.5948800000,3423988,5817280604.6200,0.272600,1.648200
2020-10-12,sh.600519,1490.1010000000,1534.4621833000,1490.1010000000,1534.4621833000,4372904,7597987786.3300,0.348100,3.219900
2020-10-13,sh.600519,1534.4709486000,1534.4709486000,1520.7795500000,1524.2856700000,2294389,3995560518.3300,0.182600,-0.663200
2020-10-14,sh.600519,1525.1622000000,1531.2803794000,1512.8907800000,1515.5203700000,2048139,3554316588.7400,0.163000,-0.575000
2020-10-15,sh.600519,1508.6220789000,1520.7795500000,1508.5081300000,1512.0142500000,1620436,2801250556.4800,0.129000,-0.231300
2020-10-16,sh.600519,1512.0142500000,1520.4114074000,1492.7305900000,1500.6193600000,1737738,2991246892.1300,0.138300,-0.753600
2020-10-19,sh.600519,1512.0142500000,1519.8854894000,1483.0011070000,1489.2244700000,1922632,3284383414.7100,0.153100,-0.759300
2020-10-20,sh.600519,1490.0922347000,1520.7532541000,1485.7183500000,1519.9030200000,2773493,4787807535.8200,0.220800,2.060000
2020-10-21,sh.600519,1519.9906730000,1527.0467395000,1510.2611900000,1519.3157449000,1890137,3275357440.3000,0.150500,-0.038600
2020-10-22,sh.600519,1516.3969000000,1529.5448500000,1503.6959803000,1527.3535250000,2248087,3897729793.1000,0.179000,0.529000
2020-10-23,sh.600519,1525.8458934000,1531.8150627000,1502.3724200000,1503.5382049000,1929169,3339987454.0800,0.153600,-1.559300
2020-10-26,sh.600519,1419.1020700000,1457.5992676000,1402.4480000000,1440.1387900000,6601529,10821908227.1200,0.525500,-4.216700
2020-10-27,sh.600519,1440.1387900000,1441.0153200000,1416.5776636000,1424.3612500000,4394440,7156688306.5800,0.349800,-1.095600
2020-10-28,sh.600519,1425.2377800000,1469.9408100000,1424.4313724000,1459.2559093000,3463653,5739452181.1400,0.275700,2.449800
2020-10-29,sh.600519,1450.5169052000,1497.1132400000,1443.6449100000,1469.0642800000,3937376,6633168612.7700,0.313400,0.672100
2020-10-30,sh.600519,1470.8173400000,1486.5948800000,1459.4224500000,1463.8226306000,2605545,4379602067.6800,0.207400,-0.356800
2020-11-02,sh.600519,1468.1877500000,1485.7183500000,1465.5581600000,1467.3199853000,2106643,3544422245.4300,0.167700,0.238900
2020-11-03,sh.600519,1476.9442847000,1495.2725270000,1468.6260150000,1485.7183500000,2349749,3976621208.0600,0.187100,1.253900
2020-11-04,sh.600519,1490.1010000000,1493.6071200000,1476.9530500000,1489.7328574000,1644371,2788396252.9400,0.130900,0.270200
2020-11-05,sh.600519,1505.0020100000,1518.5706944000,1500.7070130000,1509.2970070000,2352414,4053043270.7100,0.187300,1.313300
2020-11-06,sh.600519,1516.8789915000,1517.7905827000,1481.3357000000,1490.6444486000,2305153,3932702366.7000,0.183500,-1.235800
2020-11-09,sh.600519,1491.3106114000,1534.5235404000,1490.6444486000,1527.4148821000,4146970,7198679682.9500,0.330100,2.466700
2020-11-10,sh.600519,1536.4869676000,1546.6196544000,1521.6560800000,1529.5448500000,3018944,5287968172.7400,0.240300,0.139400
2020-11-11,sh.600519,1529.5448500000,1558.0320750000,1517.2734300000,1517.5802155000,3485073,6122365404.4100,0.277400,-0.782200
2020-11-12,sh.600519,1516.4056653000,1533.9275000000,1509.6213231000,1520.5954787000,2347309,4071729791.5600,0.186900,0.198700
2020-11-13,sh.600519,1511.1377200000,1515.4151864000,1482.2122300000,1494.4836500000,2815548,4791276459.4700,0.224100,-1.717200
